Brand,Model_SubModel,Year,GearType,Price
BMW,116i 1.6 M Sport,2015,AUTO,"800,000"
BMW,116i 1.6 M Sport,2016,AUTO,"840,000"
BMW,116i 1.6 M Sport,2017,AUTO,"880,000"
BMW,118i 1.5 Sport,2015,AUTO,"920,000"
BMW,118i 1.5 Sport,2016,AUTO,"960,000"
BMW,118i 1.5 Sport,2017,AUTO,"1,000,000"
BMW,118i 1.5 Sport,2018,AUTO,"1,040,000"
BMW,118i 1.5 M Sport,2015,AUTO,"940,000"
BMW,118i 1.5 M Sport,2016,AUTO,"980,000"
BMW,118i 1.5 M Sport,2017,AUTO,"1,020,000"
BMW,118i 1.5 M Sport (M Performance Edition) (CBU),2018,AUTO,"1,150,000"
BMW,118i 1.5 M Sport (M Performance Edition) (CBU),2019,AUTO,"1,200,000"
BMW,118i 1.5 M Sport (M Performance Edition) (CBU),2020,AUTO,"1,250,000"
BMW,218i 1.5 Active Tourer M Sport,2015,AUTO,"1,000,000"
BMW,218i 1.5 Active Tourer M Sport,2016,AUTO,"1,040,000"
BMW,218i 1.5 Active Tourer M Sport,2017,AUTO,"1,080,000"
BMW,218i 1.5 Coupe M Sport,2015,AUTO,"1,150,000"
BMW,218i 1.5 Coupe M Sport,2016,AUTO,"1,190,000"
BMW,218i 1.5 Coupe M Sport,2017,AUTO,"1,230,000"
BMW,218i 1.5 Gran Tourer Luxury,2015,AUTO,"1,100,000"
BMW,218i 1.5 Gran Tourer Luxury,2016,AUTO,"1,140,000"
BMW,218i 1.5 Gran Tourer Luxury,2017,AUTO,"1,180,000"
BMW,218i 1.5 Gran Coupe M Sport (CBU),2020,AUTO,"1,880,000"
BMW,220i 2.0 Sport,2014,AUTO,"1,260,000"
BMW,220i 2.0 Sport,2015,AUTO,"1,340,000"
BMW,220i 2.0 Sport,2016,AUTO,"1,420,000"
BMW,220i 2.0 Sport,2017,AUTO,"1,500,000"
BMW,220i 2.0 M Sport,2014,AUTO,"1,360,000"
